file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00220_01331.800-01335.400,ད་དང་པོ། བྱ་བ་དེ་ལ་འཇུག་ཡོང་པའི་ཁ་ཐུག་ལ་ཡ། ཀུན་སློང་ལ་བརྟག་པ་བྱེད་སྟངས་དེ་འོ་དེ་ ,da dang po/_bya ba de la 'jug yong pa'i kha thug la ya/_kun slong la brtag pa byed stangs de 'o de _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00220_01331.800-01335.400.wav,STT_TT,3,81,3.6000000000001364,wav16k/STT_TT00220_01331.800-01335.400.wav,ད་དང་པོ་ བྱ་བ་དེ་ལ་འཇུག་ཡོང་པའི་ཁ་ཐུག་ལ་ཡ། ཀུན་སློང་ལ་བརྟག་པ་བྱེད་སྟངས་དེ། འོ་འདི།
STT_TT00219_00771.250-00772.500,གལ་ཏེ་མི་ནུས་ཅི་བདེར་བྱ་ཟེ།  ,gal te mi nus ci bder bya ze/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00219_00771.250-00772.500.wav,STT_TT,3,29,1.25,wav16k/STT_TT00219_00771.250-00772.500.wav,གལ་ཏེ་མི་ནུས་ཅི་ལྟར་བྱ།།
STT_NS_M0246_0024_158147_to_160399,ཁ་པར་ནང་གློག་མི་འདུག གློག་ནང་ཁ་པར་མི་འདུག་ལབ་གྲབས་བྱེད་བསྡད་ཤག ,kha par nang glog mi 'dug_glog nang kha par mi 'dug lab grabs byed bsdad shag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0246_0024_158147_to_160399.wav,STT_NS,3,63,2.252,wav16k/STT_NS_M0246_0024_158147_to_160399.wav,ཁ་པར་ནང་གློག་མི་འདུག གློག་ནང་ཁ་པར་མི་འདུག་ལབ་གྲས་བྱསད་བསྡད་ཤག
STT_NS_M0238_0133_754823_to_757087,འཛམ་གླིང་གཅིག་ནང་བསྡད་ཀྱི་ཡོད་དུས་སྐབས་སུ་ལ། ཨ་ནས།  ,'dzam gling gcig nang bsdad kyi yod dus skabs su la/_a nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0238_0133_754823_to_757087.wav,STT_NS,3,52,2.264,wav16k/STT_NS_M0238_0133_754823_to_757087.wav,ཨ་འཛམ་གླིང་གཅིག་ནང་བསྡད་ཀི་ཡོད་དུས་སྐབས་སུ་ལ་ཨེ་ནས།
STT_NS0220_0046_719513_to_725179,ད་དབྱར་ཁ་འདི་ལ་ག་རེ་ག་རེ་ཡོད་རེད་ལབ་ཡ་ཅིག་ཡོད་བ། ད་དབྱར་ཁ་དེ་ངས་གལ་ཆེ་ཤོས་འདྲ་བོ་མཐོང་གི་ཡོད་གལ་ཆེ་ཤོས་ཡང་རེད།  ,da dbyar kha 'di la ga re ga re yod red lab ya cig yod ba/_da dbyar kha de ngas gal che shos 'dra bo mthong gi yod gal che shos yang red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0220_0046_719513_to_725179.wav,STT_NS,3,112,5.666,wav16k/STT_NS0220_0046_719513_to_725179.wav,ད་དབྱར་ཁ་དེ་ལ་ག་རེ་ག་རེ་ཡོད་ེད་ལབ་ཡ་ཅིག་ཡོད་བ། ཨ་ད་དབྱར་ཁ་དེ་ངས་གལ་ཆེ་ཤོས་འདྲ་བོ་མཐོང་གི་ཡོད། གལ་ཆེ་ཤོས་ཡང་རེད།
STT_TT00218_00929.700-00934.200,དེ་ཕྱོགས་གཅིག་ལ་བསམ་བློ་བཏང་ཡོང་དུས་དེ་བ། སེམས་ཤུགས་ཆག་པའི་ཟོལ་ར་ཅིག་རེད་དེ། གཉིས་ནས་བསམ་བློ་གཏང་ཡོང་དུས་དེ་བ། དེ་ཡག་རྟགས་རེད།  ,de phyogs gcig la bsam blo btang yong dus de ba/_sems shugs chag pa'i zol ra cig red de/_gnyis nas bsam blo gtang yong dus de ba/_de yag rtags red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00218_00929.700-00934.200.wav,STT_TT,3,128,4.5,wav16k/STT_TT00218_00929.700-00934.200.wav,འདི་ཕྱོགས་གཅིག་ནས་བསམ་བློ་བཏང་ཡོང་དུས་དེ་བ། སེམས་ཤུགས་ཆགས་པའི་ཟོལ་འདྲ་ཅིག་རེད་དེ། གཉིས་ནས་བསམ་བློ་བཏང་ཡོང་དུས་དེ་བ། འདི་ཡག་རྟགས་འདྲ་ཞིག
STT_NS_M0237_0370_2354308_to_2359701,ད་ལྟ། མ་རེད། ཁོ་རང་ལ་ཐུན་མོང་མ་ཡིན་པའི་ཡང་། གསོལ་བ་བཏབ་ཡ་ཡི་སྔགས་གཅིག་ཡོད་རཱ།  ,da lta/_ma red/_kho rang la thun mong ma yin pa'i yang /_gsol ba btab ya yi sngags gcig yod rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0237_0370_2354308_to_2359701.wav,STT_NS,3,79,5.393,wav16k/STT_NS_M0237_0370_2354308_to_2359701.wav,ད་ལྟ་མ་རེད། ཁོ་རང་ལ་ཐུན་མོང་མ་ཡིན་པའི་ཡང་གསོལ་བ་བཏབ་ཡ་གི་སྔགས་ཅིག་ཡོད་རཱ།
STT_TT00219_01209.000-01213.200,གང་ཞིག་བསམས་ཏེ་བྱར་བརྩམས་པ། དེ་ལས་གཞན་དུ་མི་བསམ་སྟེ། དེར་གཏད་པ་ཡི་བསམ་པ་ཡིས། དེ་ཉིད་རེ་ཞིག་བསྒྲུབ་པར་བྱ། གསུངས་པ་རེད།  ,gang zhig bsams te byar brtsams pa/_de las gzhan du mi bsam ste/_der gtad pa yi bsam pa yis/_de nyid re zhig bsgrub par bya/_gsungs pa red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00219_01209.000-01213.200.wav,STT_TT,3,119,4.2000000000000455,wav16k/STT_TT00219_01209.000-01213.200.wav,གང་ཞིག་བསམ་དེ་བྱར་བརྩམས་པ། དེ་ལས་གཞན་དུ་མི་བསམ་སྟེ། དེ་ལདད་པ་ཡི་བསམ་པ་ཡིས། དེ་ཉིད་རེ་ཞེས་སྒྲུབ་པར་བྱ། གསུངས་པ།
STT_TT00274_642.050-650.800,ཨེ་ནས་ང་ཚོ་གཞན་པ་ཡོང་དོགས་ཅང་མི་འདུག་ག དཔེར་ན་ཁྱིམ་མི་ནག་ཟོལ་འདྲ་ཡིན་ན་ནི། ཅིག་ཞབས་བརྟེན་དང་དེ་འདྲས་ནི་ཅང་འགྲོ་གོ་མ་རེད། གཞན་པ་ཡོང་དོགས་ཅང་ཡོད་མ་རེད་དེ། ད་འདི་ཐོབ་ཀྱིས་འཇལ་བ་ཟེར་ཡ་དེ་གཟབ་གཟབ་མ་བྱས་དང་ཡང་ཡོང་གི་ཉེན་ཁ་ཆེན་པོ་འདུག་ག ,e nas nga tsho gzhan pa yong dogs cang mi 'dug ga_dper na khyim mi nag zol 'dra yin na ni/_cig zhabs brten dang de 'dras ni cang 'gro go ma red/_gzhan pa yong dogs cang yod ma red de/_da 'di thob kyis 'jal ba zer ya de gzab gzab ma byas dang yang yong gi nyen kha chen po 'dug ga_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00274_642.050-650.800.wav,STT_TT,3,230,8.75,wav16k/STT_TT00274_642.050-650.800.wav,ད་འདི་ང་ཚོ་གཞན་པ་ཡོང་མྫོག་ཅང་མི་འདུག་ག། དཔེར་ན་ཁྱིམ་པ་མི་ནག་ག་ཟོལ་འདྲས་ཡིན་ན་ནི་ཅིག་ད་ཞབས་བརྟན་དང་དེ་འདྲས་ལི་ྦཅང་འགྲོ་གི་ཡོད་མ་རེད། གཞན་པ་ཡོང་མདོག་ཅང་ཡོད་མ་རེད་དེ། ད་འདི་ཐོབ་ཀི་བྱས་པ་ཟེར་ཡ་དེ་གཟབ་གཟབ་མ་བྱེད་དང་། ཡང་ཡོང་ཡ་གི་ཉེན་ཁ་ཆེན་པོ་འདུག་ག།
STT_NS_M0247_0117_910473_to_913062,ཁོ་རང་གི་ལས་ནང་ལོགས་ལ། མོ་ཊ་ནང་། མོ་ཊ་མཉམ་དུ།  ,kho rang gi las nang logs la/_mo Ta nang /_mo Ta mnyam du/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0247_0117_910473_to_913062.wav,STT_NS,3,47,2.589,wav16k/STT_NS_M0247_0117_910473_to_913062.wav,ཁོ་རང་གི་ལས་ནང་ལོགས་ལ་མོ་ཊ་ནང་མོ་ཊ་མཉམ་དུ།
STT_NS_M0245_0150_1132687_to_1136254,དབྱིན་ཇི་མེད་པ་བཟོ་ཡ་འདྲ་པོ་མེད་རེད་བསམ་གྱི་འདུག སྐད་ཡིག་གལ་ཆེན་པོ་ཡིན་པ་ནི་ཧ་གོ་གི་ཡོད་རེད།  ,dbyin ji med pa bzo ya 'dra po med red bsam gyi 'dug_skad yig gal chen po yin pa ni ha go gi yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0245_0150_1132687_to_1136254.wav,STT_NS,3,94,3.567,wav16k/STT_NS_M0245_0150_1132687_to_1136254.wav,དབྱིན་ཇི་མེད་བ་བཟོ་ཡ་འདྲ་བོ་མེད་རེད་བསམ་གི་འདུག སྐད་ཡིག་གལ་ཆེན་པོ་ཡིན་པ་ནི་ཧ་གོ་གི་ཡོད་རེད།
STT_NS_M0247_0084_566390_to_571390,བུ་གུ་གྲོད་ཁོག་ནང་ལ་ཆགས་ཚར་བའི་གཞུག་གུ་ལ་ཨེ་ནས་བུ་གུ་མེད་བ་བཟོ་མྱི་ཨེ་འདྲ་འདུག་བ་ཡོད་བ་ག་འདྲའི་སྡིག་པ་ཡོད་རེད་རཱ།  ,bu gu grod khog nang la chags tshar ba'i gzhug gu la e nas bu gu med ba bzo myi e 'dra 'dug ba yod ba ga 'dra'i sdig pa yod red rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0247_0084_566390_to_571390.wav,STT_NS,3,115,5.0,wav16k/STT_NS_M0247_0084_566390_to_571390.wav,བུ་གུ་གྲོད་ཁོག་ནང་ལ་ཆགས་ཚར་བའི་གཞུག་གུ་ལ་ཨེ་ནས་བུ་གུ་མེད་བ་བཟོ་མྱི་ཨེ་འདྲའི་འདུག་བ་ཡང་། ག་འདྲའི་སྡིག་པ་ཡོད་རེད་རཱ།
STT_NS_M0240_0124_875644_to_878244,ཨ་ནས་ང་འདྲ་བོ་ཡིན་ན་ད་གཞིས་ཆགས་བུ་གུ་རཱ། ཨ་ནས་ང་ཚོ་ད།  ,a nas nga 'dra bo yin na da gzhis chags bu gu rA/_a nas nga tsho da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0240_0124_875644_to_878244.wav,STT_NS,3,55,2.6,wav16k/STT_NS_M0240_0124_875644_to_878244.wav,ཨ་ནས་ང་འདྲ་བོ་ཡིན་ན་ད་གཞིས་ཆགས་བུ་གུ་རཱ། ཨེ་ནས་ང་ཚོ་ད།
STT_NS0221_0121_1068182_to_1075520,འབྲེལ་བ་བཞག་ཡས་ཅིག་ཡོད་བ། འབྲེལ་བ་བཞག་ཡ་དེ་ངས་ཀིས་ལབ་སོང་བ་ད་གིན་གོང་དུ་ལབ་པ་ནང་བཞིན་རེད། འབྲེལ་བ་བཞག་ཡ་དེ་ཡོད་བ། ཧང་སང་ཡ་གིས་འདི་ཆགས་ཀི་རེད། ག་རེ་ལབ་དགོས་རེད་ད།  ,'brel ba bzhag yas cig yod ba/_'brel ba bzhag ya de ngas kis lab song ba da gin gong du lab pa nang bzhin red/_'brel ba bzhag ya de yod ba/_hang sang ya gis 'di chags ki red/_ga re lab dgos red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS0221_0121_1068182_to_1075520.wav,STT_NS,3,163,7.338,wav16k/STT_NS0221_0121_1068182_to_1075520.wav,འབྲེལ་བ་བཞག་ཡ་ཅིག་ཡོད་བ། འབྲེལ་བ་བཞག་ཡ་དེ་ངས་ཀིས་ལབ་སོང་བ། ད་གིན་གོང་དུ་ལབ་པ་ནང་བཞིན་རེད། འབྲེལ་བ་བཞག་ཡ་དེ་ཡོད་བ། ཧང་སང་ཡ་གི་འདི་ཆགས་ཀི་རེད། ག་རེ་ལབ་དགོས་རེད་ད།
